#最大Miese应力(MPa)   最大Miese应变  密度kg/m^3  弹模GPa  转速r/min 
1.77005000e+02 1.70071920e-03 7.281907849369133146e+03 1.638315977378787238e+02 1.589176852239653454e+04 
1.97080000e+02 1.98325361e-03 7.492850697225012482e+03 1.587151231439099206e+02 1.695462566525367947e+04 
2.25086000e+02 2.15775344e-03 7.962564982939298716e+03 1.689047219045187376e+02 1.801748280811082077e+04 
2.56040000e+02 2.43988055e-03 8.295600750090277870e+03 1.700116374296242157e+02 1.908033995096796571e+04 
2.92676000e+02 2.87771039e-03 8.528011578490859392e+03 1.618840248546892155e+02 2.014319709382510700e+04 
3.55472000e+02 2.87374804e-03 9.371707840082155599e+03 1.926046660010527773e+02 2.120605423668224830e+04 
4.02185000e+02 3.86980760e-03 9.630479277940561587e+03 1.599105463778581111e+02 2.226891137953939324e+04 
1.67569000e+02 1.45072169e-03 6.599448184992284041e+03 1.802012361902330326e+02 1.599591507970099701e+04 
1.88456000e+02 1.72828019e-03 6.939481913986647669e+03 1.731805391404034822e+02 1.705877222255813831e+04 
2.00727000e+02 1.60003301e-03 6.731212582923406444e+03 2.007823944500998437e+02 1.812162936541528325e+04 
2.50002000e+02 2.24147663e-03 8.008591042135140924e+03 1.813081517153384823e+02 1.918448650827242454e+04 
2.85214000e+02 2.05047822e-03 8.221336420797704704e+03 2.221002082167566698e+02 2.024734365112956948e+04 
3.47883000e+02 3.06874465e-03 9.079784011494835795e+03 1.769141510738995180e+02 2.131020079398671078e+04 
1.93624000e+02 1.80237947e-03 9.417733899277998717e+03 1.712070606635724062e+02 1.493305793684385389e+04 
2.10084000e+02 1.79537393e-03 7.409196199700932993e+03 1.882106653596138131e+02 1.782819160933370586e+04 
2.62826000e+02 2.42251330e-03 8.691050706511990938e+03 1.751281120235930189e+02 1.889104875219085079e+04 
2.35404000e+02 2.01912879e-03 6.886457892947420987e+03 1.894858801643855486e+02 1.995390589504799209e+04 
2.64562000e+02 2.57626478e-03 7.069162470706569366e+03 1.656176367881852514e+02 2.101676303790513703e+04 
3.62521000e+02 2.65627843e-03 8.818339056843789876e+03 2.120789087358141387e+02 2.207962018076227832e+04 
2.05878000e+02 1.61108374e-03 9.288053342558076110e+03 2.050966035207152629e+02 1.570247732361942144e+04 
2.35458000e+02 1.75243568e-03 9.757767628272362344e+03 2.183665962832606340e+02 1.676533446647656456e+04 
2.26671000e+02 1.75689323e-03 7.538876756420855600e+03 2.090176548807358472e+02 1.860302401786341943e+04 
2.58297000e+02 2.18244006e-03 7.878910485415219227e+03 1.914977504759472993e+02 1.966588116072056073e+04 
2.81901000e+02 2.53001422e-03 7.751622135083418470e+03 1.781893658786712535e+02 2.072873830357770566e+04 
3.39793000e+02 2.88163832e-03 8.478305327849426249e+03 1.844770534261177772e+02 2.179159544643484696e+04 
1.86175000e+02 1.47958225e-03 8.348624771129505461e+03 1.995071796453281081e+02 1.541445258929199008e+04 
2.18695000e+02 1.89438628e-03 9.160764992226275353e+03 1.864246263093072855e+02 1.647730973214913320e+04 
2.53183000e+02 2.25103725e-03 9.704743607233136572e+03 1.825035749492867012e+02 1.754016687500627449e+04 
2.25145000e+02 1.70269269e-03 6.812193563654847821e+03 2.140907790473758610e+02 1.948263952548883390e+04 
2.57676000e+02 2.04540451e-03 7.200926868637692678e+03 2.039011802867670440e+02 2.054549666834597883e+04 
2.99600000e+02 2.40482894e-03 7.588583007062288743e+03 1.977211405950215806e+02 2.160835381120312013e+04 
1.80127000e+02 1.46684008e-03 8.140355440066263327e+03 1.938000892350009963e+02 1.523121095406026325e+04 
2.08279000e+02 1.70962733e-03 8.765315035804564104e+03 1.957735677118320723e+02 1.629406809691740636e+04 
2.31454000e+02 1.81408846e-03 8.901993554367869365e+03 2.070700819975463673e+02 1.735692523977454766e+04 
2.74361000e+02 2.04597204e-03 9.549498297209120210e+03 2.151976945724813390e+02 1.841978238263169260e+04 
2.97575000e+02 2.09704217e-03 8.058297292776574068e+03 2.253872933330901560e+02 2.089678167642951303e+04 
2.99948000e+02 2.01091153e-03 7.356172178661707221e+03 2.366838076188044511e+02 2.195963881928665796e+04 
1.80871000e+02 1.35487000e-03 7.825886464375992546e+03 2.108036939310424032e+02 1.558249596214379926e+04 
2.08873000e+02 1.52393294e-03 8.432279268653583131e+03 2.203141691664501423e+02 1.664535310500094420e+04 
2.02138000e+02 1.44941613e-03 7.118868721348002509e+03 2.233754230215284053e+02 1.770821024785808549e+04 
2.75525000e+02 1.92413862e-03 9.235029321518850338e+03 2.296631105689749290e+02 1.877106739071523043e+04 
3.26924000e+02 2.53268816e-03 9.841422125796441833e+03 2.027942647616615943e+02 1.983392453357237173e+04 
2.58666000e+02 1.93365857e-03 6.649154435633717185e+03 2.163931178064295580e+02 2.142267479178849317e+04 
1.61438000e+02 1.10436291e-03 7.023136411510727157e+03 2.264942088581956341e+02 1.504553193464563628e+04 
1.86601000e+02 1.26107828e-03 7.670641154351978003e+03 2.346719373072427004e+02 1.610838907750277940e+04 
2.22066000e+02 1.55040843e-03 8.610069725780549561e+03 2.316106834521644373e+02 1.717124622035992434e+04 
2.52290000e+02 2.45423462e-03 8.948019613563712483e+03 1.668928515929569585e+02 1.823410336321706563e+04 
2.83561000e+02 1.94132805e-03 8.997725864205145626e+03 2.333967225024709649e+02 1.929696050607420693e+04 
3.31343000e+02 2.28281791e-03 9.467440149919431860e+03 2.276896320921438530e+02 2.035981764893135187e+04 
